Pareto (Travel Time; Profit; IsValid)

2588.4904774446949887 ; 1645; 0000000
2588.4474879526437689 ; 1489; 0000000
5577.6487026317354321 ; 63152; 0000000
5201.5914900232537548 ; 62453; 0000000
5007.5733850664964848 ; 62106; 0000000
5509.3584580791693952 ; 63053; 0000000
5121.7298593115201584 ; 62272; 0000000
2746.0038325072828229 ; 26787; 0000000
5375.9258892575780919 ; 62908; 0000000
5331.6572083826094968 ; 62598; 0000000
4873.5164414480950654 ; 61714; 0000000
2596.9550960014912562 ; 6211; 0000000
4552.1297703170321256 ; 60747; 0000000
2736.7752341605605579 ; 25194; 0000000
4097.1733177057831199 ; 58657; 0000000
4457.672324415663752 ; 60355; 0000000
4750.1220860900184562 ; 61453; 0000000
3299.0329307400334073 ; 49221; 0000000
2662.5550087652040929 ; 18325; 0000000
3186.981472140288588 ; 46601; 0000000
2684.8946113522565611 ; 20514; 0000000
2634.9492527392594639 ; 15088; 0000000
2613.2386319052025101 ; 10422; 0000000
2848.0210416457316569 ; 33255; 0000000
2764.206697115821953 ; 28360; 0000000
4932.6324223981873729 ; 61718; 0000000
4010.1757978533510141 ; 58226; 0000000
3115.5965746079568817 ; 44726; 0000000
2709.4809478395504811 ; 23608; 0000000
2673.5845921924515096 ; 19498; 0000000
3088.7520910889656989 ; 43708; 0000000
3480.3593825909761108 ; 52872; 0000000
2631.6753865061950819 ; 13656; 0000000
4607.8859076482285673 ; 60909; 0000000
3334.9316719060311698 ; 50003; 0000000
4670.2234115729588666 ; 61202; 0000000
3640.1617820929131994 ; 54598; 0000000
2621.4512364640713713 ; 11538; 0000000
3044.7409834301920455 ; 42249; 0000000
4153.4337225145100092 ; 58834; 0000000
2652.4582616446878092 ; 17043; 0000000
3780.9284344117736509 ; 56323; 0000000
2896.3448067725244073 ; 35980; 0000000
2880.6740390540235239 ; 35013; 0000000
3596.0793504864900569 ; 54085; 0000000
3216.6958929642996736 ; 47383; 0000000
3364.2987151992010695 ; 50582; 0000000
2868.9200069245284794 ; 34062; 0000000
2920.3079100321519945 ; 36722; 0000000
3018.0253690550384817 ; 41392; 0000000
2627.1764251497029363 ; 12669; 0000000
3449.8032099065608236 ; 52140; 0000000
4317.6100300374710059 ; 59844; 0000000
2643.5349873671575551 ; 16204; 0000000
2933.4441804894149755 ; 37632; 0000000
3068.3918605436260805 ; 42976; 0000000
3265.8976008855970576 ; 48364; 0000000
3980.2183494902646999 ; 58004; 0000000
2986.0465497358823086 ; 39883; 0000000
3923.9238409802401293 ; 57545; 0000000
3523.5981162259840858 ; 53411; 0000000
3734.6602930814824504 ; 55787; 0000000
2951.6984969936102061 ; 38414; 0000000
3828.8564652648969968 ; 56557; 0000000
4201.7802480464024484 ; 59290; 0000000
2969.2092998713465022 ; 39109; 0000000
3010.0249113082145414 ; 40557; 0000000
3673.3037429216383316 ; 55233; 0000000
2723.730466194841938 ; 24021; 0000000
3411.1314250421992256 ; 51005; 0000000
2831.4758192590547878 ; 31977; 0000000
3147.7028019313038385 ; 45775; 0000000
3864.358698168346109 ; 56959; 0000000
3560.2746644942722014 ; 53607; 0000000
4367.5055212058232428 ; 60058; 0000000
4404.4000808657428934 ; 60221; 0000000
3238.5949358088828376 ; 48049; 0000000
2780.8478969288576081 ; 28914; 0000000
3415.602472569400561 ; 51724; 0000000
4264.3903184098180645 ; 59585; 0000000
4730.9517349264879158 ; 61259; 0000000
3896.2493739695278236 ; 57333; 0000000
3719.1905223887124521 ; 55284; 0000000
3137.0120133866512333 ; 45458; 0000000
2589.1646697524261072 ; 2695; 0000000
2589.0983334192833354 ; 2539; 0000000
2588.1740037262602527 ; 910; 0000000
2593.657028701632953 ; 5194; 0000000
2594.6869435113940199 ; 5995; 0000000
2590.3839041602982434 ; 3657; 0000000
2587.9306376556560281 ; 119; 0000000
5715.2071961701140026 ; 63232; 0000000
5777.1278661678588833 ; 63331; 0000000
5814.7744900166781008 ; 63393; 0000000
