Pareto (Travel Time; Profit; IsValid)

2587.9299300000006951 ; 0; 0000000
3275.0218001733651363 ; 277429; 0000000
2587.9317926305734545 ; 529; 0000000
3088.132094786446487 ; 223207; 0000000
2940.3458069320599861 ; 197155; 0000000
2926.2650182623688124 ; 177742; 0000000
2703.626758826985224 ; 79268; 0000000
2630.7294612859373046 ; 31678; 0000000
2742.1155741967845643 ; 101864; 0000000
2621.7359529074929014 ; 28372; 0000000
5485.0741886058776799 ; 599261; 0000000
4590.092886509649361 ; 532425; 0000000
4999.1566508234918729 ; 560024; 0000000
3643.3503683232916046 ; 354438; 0000000
3739.0687971074680718 ; 370599; 0000000
3890.2041132659101095 ; 407883; 0000000
4702.2425669289686994 ; 535147; 0000000
5202.137678154454079 ; 582355; 0000000
4827.6737038363717147 ; 540212; 0000000
5642.2864938539214563 ; 600538; 0000000
4256.6048787345553137 ; 453782; 0000000
3138.3031446083664378 ; 271110; 0000000
2885.1014853235915325 ; 168167; 0000000
2587.9326395940406655 ; 633; 0000000
3965.9369501157730156 ; 442352; 0000000
3556.2400550432621458 ; 348722; 0000000
3398.8823646984342304 ; 318234; 0000000
3309.2829057674184696 ; 296588; 0000000
5008.1762047529355186 ; 562735; 0000000
4113.5271753216229627 ; 445929; 0000000
4982.6391149624150785 ; 556961; 0000000
5329.8908207641898116 ; 583247; 0000000
2599.2168643419445289 ; 9517; 0000000
2619.5065535640196686 ; 27074; 0000000
6367.0261861205126479 ; 641377; 0000000
