Pareto (Travel Time; Profit; IsValid)

7544.3659000000006927 ; 0; 0000000
7743.4139420848068767 ; 3498; 0000000
10151.456279139443723 ; 34447; 0000000
9836.1564421637795022 ; 32953; 0000000
7750.486547401586904 ; 4001; 0000000
8074.0173361129609475 ; 9312; 0000000
7572.6487225176733773 ; 1378; 0000000
7869.8615791032189009 ; 6496; 0000000
9167.9866205248399638 ; 21996; 0000000
11721.839557431896537 ; 37110; 0000000
10918.44139026585799 ; 36154; 0000000
9707.082389866684025 ; 29240; 0000000
8319.8316158594861918 ; 14602; 0000000
8810.6973902868903679 ; 19533; 0000000
8770.2016315652799676 ; 19258; 0000000
9165.0643286740814801 ; 21769; 0000000
7574.3814467695410713 ; 1650; 0000000
8851.9013407987968094 ; 20292; 0000000
8498.3647668047397019 ; 14774; 0000000
14124.785536548408345 ; 39324; 0000000
15080.359757291404094 ; 39869; 0000000
12214.546302741455293 ; 39126; 0000000
7905.3126009793440971 ; 8794; 0000000
7878.4447429838019161 ; 8581; 0000000
8276.0636048333162762 ; 14218; 0000000
7663.57345639574487 ; 2676; 0000000
7836.8097181558014199 ; 5321; 0000000
7585.9780186509206032 ; 1943; 0000000
