Pareto (Travel Time; Profit; IsValid)

2587.9299300000006951 ; 0; 0000000
3028.2649791754156468 ; 195345; 0000000
3178.6229412464563211 ; 221877; 0000000
3197.0586907028819041 ; 225700; 0000000
3220.4937346940141651 ; 234461; 0000000
3300.4505263322266728 ; 243580; 0000000
3325.430546129589402 ; 250917; 0000000
3562.9464989593138853 ; 277987; 0000000
3580.935640706473805 ; 282120; 0000000
6270.7815787542531325 ; 405567; 0000000
6390.8275067621443668 ; 408224; 0000000
2589.4461575000473204 ; 1828; 0000000
3381.2834910271781155 ; 254145; 0000000
2958.1822134339759032 ; 178838; 0000000
3439.7075510056679377 ; 263080; 0000000
2594.5052374995984792 ; 9391; 0000000
6172.3471800840725336 ; 402573; 0000000
2615.1721947930650458 ; 30809; 0000000
4754.1178324758684539 ; 365450; 0000000
2903.1722909851550867 ; 163805; 0000000
3837.1525066993735891 ; 307397; 0000000
3081.3997288230143567 ; 205504; 0000000
3583.0602612995398886 ; 282597; 0000000
3552.0381073665148506 ; 276673; 0000000
2987.3926533301464588 ; 186086; 0000000
3890.0005672788397533 ; 310457; 0000000
3659.0083890386263192 ; 290993; 0000000
5732.7700039999244837 ; 394082; 0000000
4013.5911861068657345 ; 323515; 0000000
3916.8365855266606559 ; 314319; 0000000
3007.4406038501065268 ; 189199; 0000000
3183.0692688111689677 ; 224487; 0000000
2614.2222397938671747 ; 30292; 0000000
2595.3518193301692918 ; 10989; 0000000
2595.3585023639170686 ; 11591; 0000000
5429.2380323598599716 ; 388601; 0000000
5766.3891080427983979 ; 398145; 0000000
5844.0612721327406689 ; 399205; 0000000
6251.8602395388907098 ; 404084; 0000000
6539.4997745749960814 ; 408625; 0000000
2602.6705446737128113 ; 21194; 0000000
2649.8272913885839444 ; 54681; 0000000
2680.0453095497159666 ; 75886; 0000000
2613.063303240501682 ; 26930; 0000000
4527.4994735305099312 ; 352479; 0000000
2706.818937859858579 ; 91276; 0000000
2782.9898699589152784 ; 127320; 0000000
2778.9598129572050311 ; 118883; 0000000
2838.3210218139438439 ; 146666; 0000000
2916.1030473351002001 ; 169201; 0000000
2963.8622811404088679 ; 180214; 0000000
3171.7342760952615208 ; 219577; 0000000
3005.4716242843769578 ; 188540; 0000000
2597.7091024677974929 ; 13808; 0000000
2635.4266714814375518 ; 44255; 0000000
2636.2554161388620741 ; 52848; 0000000
2650.4035026076280701 ; 63447; 0000000
2669.4296582840165684 ; 73374; 0000000
2687.3332681791648611 ; 81523; 0000000
2698.6742729557608982 ; 89915; 0000000
2710.3487115195839579 ; 93081; 0000000
2716.3293702180312721 ; 99166; 0000000
2727.529355736085563 ; 105472; 0000000
2750.4303927334640321 ; 111389; 0000000
2798.9592998262105539 ; 138221; 0000000
2817.5412364735939263 ; 141515; 0000000
2855.371742468310913 ; 154116; 0000000
2887.5602246354451381 ; 163682; 0000000
2914.2755402901884736 ; 168091; 0000000
2942.2184090339624163 ; 173868; 0000000
2976.9542460101652068 ; 182590; 0000000
2992.9633160589928593 ; 186527; 0000000
3088.9937268969515571 ; 209376; 0000000
3110.6683848793181824 ; 213500; 0000000
3178.9319897455598039 ; 224138; 0000000
3211.4419324245586722 ; 228845; 0000000
3237.5290935031848676 ; 235110; 0000000
3273.292510836641668 ; 239959; 0000000
3772.6031644053114178 ; 301000; 0000000
3816.8868018630555525 ; 305380; 0000000
3877.2604718691736707 ; 309726; 0000000
3978.1343463193334173 ; 319898; 0000000
4090.3581960055271338 ; 327013; 0000000
4255.7096431164291062 ; 336725; 0000000
5630.731260319203102 ; 392267; 0000000
5700.3398189188101242 ; 393541; 0000000
2593.4364189031989554 ; 5806; 0000000
2598.2807530786508323 ; 13841; 0000000
2606.4344978411090779 ; 22229; 0000000
2628.0723942496738346 ; 38831; 0000000
3193.9249695181433708 ; 225505; 0000000
3211.8979547512567478 ; 229145; 0000000
3384.8635342147872507 ; 255283; 0000000
5692.9236784250506389 ; 393530; 0000000
3063.0942921325849966 ; 199281; 0000000
3298.8853859432761055 ; 241734; 0000000
3425.3545228895522996 ; 259139; 0000000
3829.7100893930746679 ; 306061; 0000000
2591.5371134318888835 ; 4664; 0000000
4499.9864374709377444 ; 352381; 0000000
2924.7967235827982222 ; 169335; 0000000
3729.9693249976180596 ; 298394; 0000000
4319.0343507861471153 ; 340277; 0000000
3472.3805348337282339 ; 268653; 0000000
3637.0127306733952537 ; 290642; 0000000
2611.288559723547678 ; 23611; 0000000
4096.0990893674770632 ; 328587; 0000000
6541.9940265100285615 ; 409255; 0000000
2692.0999489448199711 ; 83740; 0000000
6187.2824695359940961 ; 403745; 0000000
3063.9414991487947191 ; 201892; 0000000
3802.0662826468710591 ; 304533; 0000000
5709.311469148155993 ; 394065; 0000000
2593.8236793996475171 ; 9040; 0000000
4888.3477429526819833 ; 369823; 0000000
2630.082265231171732 ; 40692; 0000000
3600.1039048136399288 ; 284700; 0000000
2725.4520103526156163 ; 101626; 0000000
3174.4621607223248247 ; 220093; 0000000
6322.5721229736936948 ; 405951; 0000000
2666.485274858583125 ; 64467; 0000000
5642.8310168903108206 ; 393183; 0000000
3282.2718664441049441 ; 241368; 0000000
5593.341942922382259 ; 390698; 0000000
2751.7520515115761555 ; 112086; 0000000
4222.2007548770789072 ; 336339; 0000000
3396.5744371505015806 ; 256848; 0000000
2770.5885086754042277 ; 117942; 0000000
3376.5596911203242598 ; 253305; 0000000
3910.8388210449725193 ; 312401; 0000000
3568.1336670124774173 ; 281426; 0000000
2880.1463888258786028 ; 157775; 0000000
2735.6856904550486433 ; 106707; 0000000
3306.4141286775115987 ; 246466; 0000000
2793.6696573383678697 ; 130070; 0000000
2684.470708881153314 ; 77959; 0000000
4141.1174013043982995 ; 331481; 0000000
4747.7571590306934013 ; 363729; 0000000
2602.1352710207956989 ; 18400; 0000000
2610.558652068282754 ; 23230; 0000000
