Pareto (Travel Time; Profit; IsValid)

7544.3659000000006927 ; 0; 0000000
7940.0187784833533442 ; 44219; 0000000
8271.7518901369840023 ; 59977; 0000000
8843.6450939557653328 ; 76892; 0000000
7961.3651396791246952 ; 46252; 0000000
8007.996185261708888 ; 48103; 0000000
8089.4892742325564541 ; 52642; 0000000
8911.3404965050049213 ; 78683; 0000000
8960.1222560860423982 ; 79560; 0000000
8122.9641068671235189 ; 54163; 0000000
8049.427364055034559 ; 50837; 0000000
7909.8421502720821081 ; 42240; 0000000
7937.5956456383892146 ; 43992; 0000000
8284.2491618077365274 ; 60951; 0000000
8339.100640579170431 ; 62678; 0000000
8415.1081367606566346 ; 65557; 0000000
10022.661939818706742 ; 94839; 0000000
7675.768338092076192 ; 23037; 0000000
7626.3029349733451454 ; 15973; 0000000
8132.1490254892260054 ; 54210; 0000000
8204.4505684701071004 ; 57241; 0000000
8287.956899311979214 ; 61137; 0000000
8957.2977461512418813 ; 79224; 0000000
9019.5081951495430985 ; 80406; 0000000
12869.507090777526173 ; 115808; 0000000
13273.529689874216274 ; 117198; 0000000
13384.007128385870601 ; 117586; 0000000
13474.995646037987171 ; 117743; 0000000
13590.050172043771454 ; 118131; 0000000
13878.467753961860581 ; 118895; 0000000
13990.582211616925633 ; 119107; 0000000
14116.161570831684003 ; 119409; 0000000
14533.713601507159183 ; 120248; 0000000
14817.567705198775002 ; 120762; 0000000
8088.1164098813987948 ; 51994; 0000000
8134.0999336042223149 ; 54212; 0000000
8207.0900068886949157 ; 57877; 0000000
8247.7726722898059961 ; 59451; 0000000
8744.6219194980803877 ; 74565; 0000000
8636.4031069625489181 ; 71812; 0000000
8467.226272869427703 ; 67852; 0000000
8343.1452458437106543 ; 63039; 0000000
10008.639384653797606 ; 94761; 0000000
9497.7910657846514368 ; 88808; 0000000
8061.0799859466205817 ; 51129; 0000000
8231.6698757365702477 ; 58797; 0000000
9236.8290635109806317 ; 85118; 0000000
9136.2138319577006769 ; 83479; 0000000
7924.6104987631024414 ; 43548; 0000000
8871.3523917491438624 ; 77722; 0000000
9065.3712897724253708 ; 82235; 0000000
9603.8884118542755459 ; 90113; 0000000
8930.4538439044645202 ; 79088; 0000000
9324.2968829132587416 ; 86262; 0000000
8526.9766981348839181 ; 69698; 0000000
8158.9476331007626868 ; 56058; 0000000
8182.8714416258744677 ; 57108; 0000000
8569.6882518048059865 ; 70668; 0000000
7678.8135829945922524 ; 23338; 0000000
7653.015592295807437 ; 20729; 0000000
7595.2783182687326189 ; 13676; 0000000
7637.0191467969762016 ; 17947; 0000000
7614.2947198476203994 ; 15941; 0000000
7567.1717213267447733 ; 7158; 0000000
7558.0840046636531042 ; 5075; 0000000
7576.2619890652567847 ; 9612; 0000000
9444.2429215113043028 ; 87984; 0000000
9568.5089360958390898 ; 89658; 0000000
7907.5367335092023495 ; 41692; 0000000
8513.1491333558897168 ; 69249; 0000000
8997.6300317401328357 ; 80341; 0000000
7875.24825540789152 ; 39407; 0000000
9645.0724192812231195 ; 91164; 0000000
8584.3621011872382951 ; 71240; 0000000
9258.3626946850599779 ; 85198; 0000000
8302.7186270151669305 ; 62211; 0000000
10139.519108586729999 ; 96527; 0000000
8358.0306122379442968 ; 64230; 0000000
8651.1949789841637539 ; 72730; 0000000
9849.2390415256941196 ; 93706; 0000000
8767.8844873895213823 ; 75455; 0000000
8158.5198861461258275 ; 55697; 0000000
10025.393476518447642 ; 95513; 0000000
8711.4142673368078249 ; 74154; 0000000
9165.7846174132555461 ; 83785; 0000000
9959.0523198391547339 ; 94516; 0000000
8256.962180644613909 ; 59841; 0000000
12663.586464091456946 ; 115442; 0000000
12234.934235305820039 ; 113809; 0000000
13257.286950313589841 ; 117193; 0000000
10241.207573291227163 ; 98054; 0000000
11781.191660124686678 ; 111592; 0000000
10590.304772364890596 ; 102415; 0000000
12536.746849929349992 ; 115083; 0000000
10476.847120769034518 ; 101613; 0000000
14011.762930613471326 ; 119239; 0000000
13851.76848394107401 ; 118826; 0000000
11901.961730031123807 ; 112137; 0000000
