Pareto (Travel Time; Profit; IsValid)

4642.5806900726156528 ; 269598; 0000000
5124.9542590072123858 ; 291631; 0000000
2587.9545168713607382 ; 360; 0000000
2587.9299300000006951 ; 0; 0000000
2768.8224244053135408 ; 53451; 0000000
2597.3372340902519682 ; 6565; 0000000
3308.9761943468488425 ; 121281; 0000000
2611.3734354117664225 ; 8697; 0000000
2611.3921494268938659 ; 8816; 0000000
2922.3960723339205288 ; 88104; 0000000
2810.2251146877601968 ; 60668; 0000000
2801.6390871459989285 ; 58822; 0000000
2601.5741148042047826 ; 8151; 0000000
4368.5262069234395312 ; 239557; 0000000
4250.1611613212980956 ; 232799; 0000000
3830.6838829950115723 ; 202991; 0000000
2623.4453526362049161 ; 21403; 0000000
2691.5054959016033536 ; 51120; 0000000
3370.8907051298269835 ; 166268; 0000000
3985.5399162471626369 ; 207276; 0000000
4473.8279102364558639 ; 251913; 0000000
4315.9732857216558841 ; 236075; 0000000
6502.2420208165394797 ; 326507; 0000000
5395.0595963315627159 ; 299291; 0000000
2588.0249696851515182 ; 792; 0000000
3649.8655544077028026 ; 193261; 0000000
2588.4729546396974911 ; 1696; 0000000
3013.9900171379244966 ; 113422; 0000000
4014.8820880586672502 ; 228296; 0000000
