Pareto (Travel Time; Profit; IsValid)

7544.3659000000006927 ; 0; 0000000
7550.3129827105813092 ; 958; 0000000
7971.1771996360130288 ; 7516; 0000000
10916.508772449873504 ; 30237; 0000000
8595.4714222340444394 ; 16374; 0000000
9244.1467185788296774 ; 22480; 0000000
8861.750568714531255 ; 17804; 0000000
7692.6536719112991705 ; 4190; 0000000
9686.0813241589057725 ; 25258; 0000000
8878.084373281655644 ; 18254; 0000000
18165.129286065079214 ; 42652; 0000000
14902.933779275766938 ; 39221; 0000000
18116.369226978797087 ; 42590; 0000000
8276.8881679095175059 ; 13069; 0000000
8407.6365363130717014 ; 13696; 0000000
7572.7770167655353362 ; 1233; 0000000
7589.1812501377689841 ; 1860; 0000000
7873.9654412478739687 ; 5081; 0000000
12697.185788148442953 ; 34099; 0000000
11958.512133028094468 ; 32305; 0000000
8964.7465511896680255 ; 19788; 0000000
9879.9609348504709487 ; 26638; 0000000
7721.4529972652126162 ; 4342; 0000000
7612.95262086078219 ; 2341; 0000000
7830.0101540444575221 ; 4464; 0000000
