Pareto (Travel Time; Profit; IsValid)

2587.9299300000006951 ; 0; 0000000
2595.051867212225261 ; 5918; 0000000
2608.1690072704227532 ; 11178; 0000000
2610.1381767044417757 ; 11858; 0000000
2587.9304054220042417 ; 119; 0000000
2700.3435220234368899 ; 31892; 0000000
2618.6933717384108604 ; 13971; 0000000
2600.0051222239549134 ; 9599; 0000000
2715.2415076893080368 ; 34344; 0000000
2613.715056534786072 ; 11960; 0000000
2595.2682320357021126 ; 8429; 0000000
2708.5558584667192008 ; 33588; 0000000
2725.1832338450753923 ; 37926; 0000000
2670.1347924882052212 ; 26980; 0000000
2655.3708692865966441 ; 24047; 0000000
2618.8151549628105386 ; 15937; 0000000
2679.1835773243656149 ; 29609; 0000000
2589.1964404030445621 ; 3139; 0000000
2695.9669995527615356 ; 31820; 0000000
2641.9288386399293813 ; 20344; 0000000
2773.9587935398726586 ; 46095; 0000000
2752.7100928437507719 ; 42766; 0000000
2644.0197454204426322 ; 21683; 0000000
2759.0671183627214305 ; 44573; 0000000
2751.1276518693402977 ; 39454; 0000000
2690.1517226160362952 ; 30953; 0000000
2615.3327557942025123 ; 13127; 0000000
2623.5429779464666353 ; 16926; 0000000
2722.5972363267942455 ; 36903; 0000000
2740.7988182371168477 ; 39325; 0000000
2810.1886589689274842 ; 50238; 0000000
2712.8521740677324487 ; 34171; 0000000
2631.5639312680009425 ; 18754; 0000000
2825.6988994722005373 ; 52406; 0000000
2702.0176702901549106 ; 32428; 0000000
2593.6099393031176987 ; 5520; 0000000
2607.1542487005121984 ; 9928; 0000000
2655.1959942588314334 ; 23527; 0000000
2594.9065609312624474 ; 5606; 0000000
5586.1829591292662371 ; 136228; 0000000
5732.9886807466764367 ; 137035; 0000000
2588.9726378403402123 ; 2887; 0000000
5641.4252263165744807 ; 136818; 0000000
5511.2891521519932212 ; 135978; 0000000
5031.4314107643785974 ; 133348; 0000000
4907.1609349927230141 ; 132385; 0000000
5344.3379013156982182 ; 135406; 0000000
4399.9060838374107334 ; 126801; 0000000
5416.701105454339995 ; 135917; 0000000
2884.3232917112791256 ; 60892; 0000000
3354.066105396108469 ; 97230; 0000000
4683.6095207922198824 ; 130109; 0000000
2589.6284135685091314 ; 4517; 0000000
2588.4137618757536075 ; 2277; 0000000
3254.809946969954126 ; 91222; 0000000
5111.9557993521530079 ; 133653; 0000000
5185.5086563480736004 ; 134244; 0000000
5160.3553826928673516 ; 134127; 0000000
6126.3586006587338488 ; 138031; 0000000
2889.9426608252247206 ; 65053; 0000000
2858.3576168022150341 ; 60311; 0000000
3222.4431534504151386 ; 90169; 0000000
3275.1508956674156252 ; 93466; 0000000
5894.84994436001125 ; 137101; 0000000
4609.3132912973287603 ; 129993; 0000000
3194.403830556648245 ; 88258; 0000000
4539.1743237820719514 ; 129369; 0000000
6048.9681728616533292 ; 137719; 0000000
5968.0394544080918422 ; 137413; 0000000
4056.9100013900533668 ; 121508; 0000000
3144.3235121419775169 ; 86213; 0000000
2811.7641650105883855 ; 52326; 0000000
4258.1291616954340498 ; 125353; 0000000
3035.3741771468344268 ; 78395; 0000000
4699.0563394195360161 ; 130930; 0000000
4472.881287376650107 ; 128410; 0000000
4314.0148498971066147 ; 126312; 0000000
4099.7961993160970451 ; 122854; 0000000
3994.9638882141953218 ; 120583; 0000000
4197.8413977205982519 ; 124606; 0000000
3741.4348963576953793 ; 113885; 0000000
4374.833600923708218 ; 126741; 0000000
4795.471781143217413 ; 131607; 0000000
3058.062956299148027 ; 80275; 0000000
3360.7316145129502729 ; 98208; 0000000
4950.7862863558839308 ; 132562; 0000000
4148.4489099200445708 ; 123813; 0000000
4424.9319720290450277 ; 127790; 0000000
3573.0789944219859535 ; 108600; 0000000
3855.2240644987018641 ; 117008; 0000000
2913.306311318428925 ; 67513; 0000000
2997.5631110382096267 ; 76524; 0000000
2951.4436708755383734 ; 72184; 0000000
2587.9490853547590632 ; 759; 0000000
2841.6818784094321018 ; 58518; 0000000
5087.5985264760274731 ; 133551; 0000000
3783.0034675209080888 ; 115440; 0000000
3385.5101839081967228 ; 99413; 0000000
3327.9479330416124867 ; 95961; 0000000
3951.771482853150701 ; 119790; 0000000
3706.8956673985799171 ; 112601; 0000000
2751.3327650640721913 ; 39687; 0000000
3081.6552721812026903 ; 82330; 0000000
5136.427397272739654 ; 133897; 0000000
3668.8248607171340154 ; 111680; 0000000
5286.3283976180327954 ; 134805; 0000000
3635.2602341955830525 ; 110721; 0000000
2789.9633819618588859 ; 48883; 0000000
3295.998103101389006 ; 95632; 0000000
3604.9900892508567267 ; 109559; 0000000
3504.2652820215334941 ; 104534; 0000000
2828.8991478040902621 ; 54615; 0000000
4731.4361672628392625 ; 131270; 0000000
3126.5805495332756436 ; 84593; 0000000
2840.7865769777290552 ; 55685; 0000000
3831.4281639188557165 ; 115625; 0000000
3539.2311880489473879 ; 106635; 0000000
2790.4280351272614098 ; 49866; 0000000
5241.3662475323899343 ; 134617; 0000000
3416.1535302078605127 ; 101293; 0000000
3474.1917306495802222 ; 103596; 0000000
2945.4958280683149496 ; 69556; 0000000
4860.2315203696944081 ; 132026; 0000000
4887.9072194261370896 ; 132077; 0000000
2966.0969390856394057 ; 74182; 0000000
3094.0522807174661466 ; 83748; 0000000
3904.6897608289687014 ; 118235; 0000000
5626.1862919243467331 ; 136366; 0000000
2991.2888586084864073 ; 74685; 0000000
5022.3031935602812155 ; 133040; 0000000
3523.4832802773807998 ; 106173; 0000000
3445.5605347346108829 ; 102637; 0000000
3909.9744614184428428 ; 118831; 0000000
