Pareto (Travel Time; Profit; IsValid)

7544.3659000000006927 ; 0; 0000000
7545.8868223785575537 ; 650; 0000000
7546.0484546674479134 ; 769; 0000000
7548.9936956347937667 ; 1471; 0000000
7554.7982378182477987 ; 2080; 0000000
7585.0304261092551315 ; 4121; 0000000
7596.9191052483338353 ; 4705; 0000000
7584.1607262405223082 ; 4108; 0000000
7548.8318119022242172 ; 1352; 0000000
7914.7403457274022003 ; 10851; 0000000
7974.3295102618139936 ; 11455; 0000000
7601.3215646184344223 ; 5215; 0000000
8046.630540051593016 ; 12201; 0000000
7764.5345340053381733 ; 8624; 0000000
7544.5271323791876057 ; 119; 0000000
7547.4699705723951411 ; 821; 0000000
7642.6477986660893293 ; 6202; 0000000
8085.990653880163336 ; 12585; 0000000
8002.4070958997453999 ; 11749; 0000000
7963.6710408178050784 ; 11278; 0000000
7569.2213006356823826 ; 3425; 0000000
7551.9472428557173771 ; 1862; 0000000
7576.2674628984323135 ; 3915; 0000000
7601.1467413743730503 ; 5096; 0000000
7558.0067871825358452 ; 2471; 0000000
7862.0107021847670694 ; 10090; 0000000
7808.9219094855807271 ; 9462; 0000000
7841.3517664326291197 ; 9621; 0000000
7588.082831708793492 ; 4499; 0000000
7588.2538767022251704 ; 4618; 0000000
7547.59253673654257 ; 867; 0000000
7550.513020456648519 ; 1569; 0000000
7561.6015486588848944 ; 2845; 0000000
7575.2881329491801807 ; 3664; 0000000
7612.528271201114876 ; 5322; 0000000
8837.2867718723882717 ; 19035; 0000000
8945.3524934611614299 ; 19354; 0000000
9010.8578892668174376 ; 19733; 0000000
9068.9522732492696377 ; 20012; 0000000
9108.1361715164675843 ; 20121; 0000000
7587.072315200299272 ; 4186; 0000000
7625.382807753603629 ; 6016; 0000000
7625.5325454248795722 ; 6132; 0000000
7644.2311615690250619 ; 6597; 0000000
7645.0737197566868417 ; 6716; 0000000
7667.3359461642548922 ; 7199; 0000000
7671.1660264640504465 ; 7314; 0000000
7693.8150484309044259 ; 7797; 0000000
7723.6230519021410146 ; 8012; 0000000
7727.0261667720242258 ; 8439; 0000000
7768.7165285371493155 ; 8794; 0000000
7778.4418374501510698 ; 9241; 0000000
7821.2277318039250531 ; 9596; 0000000
7845.5635187585166932 ; 10079; 0000000
7899.7850513176545064 ; 10407; 0000000
7932.537758401343126 ; 11068; 0000000
7996.2826844986220749 ; 11470; 0000000
8006.0400198892921253 ; 11765; 0000000
8015.2958802710145392 ; 12049; 0000000
8069.5124208919069133 ; 12308; 0000000
8103.0512407834912665 ; 12754; 0000000
7552.6381534364081745 ; 1996; 0000000
7570.9932338616818015 ; 3655; 0000000
7607.9185035627215257 ; 5313; 0000000
7762.5614315349921526 ; 8588; 0000000
8081.5771227796476524 ; 12501; 0000000
8108.4759401609771885 ; 12932; 0000000
8121.1094072625492117 ; 13459; 0000000
8140.8716255887547959 ; 13840; 0000000
8170.8583988791333468 ; 14230; 0000000
8192.1197947230157297 ; 14492; 0000000
8225.095306672166771 ; 14761; 0000000
8258.8118798416398931 ; 15131; 0000000
8283.9669539148217154 ; 15608; 0000000
8383.579918812663891 ; 16338; 0000000
8423.6339186517579947 ; 16607; 0000000
8463.0568277425754786 ; 16858; 0000000
8493.6823374859668547 ; 17120; 0000000
8575.4107098971144296 ; 17594; 0000000
8616.9268924048992631 ; 17845; 0000000
8649.4551161641466024 ; 18107; 0000000
8687.8557711399171239 ; 18320; 0000000
8752.0578035249509412 ; 18564; 0000000
8799.7446455172030255 ; 18815; 0000000
8838.0058702121768874 ; 19077; 0000000
8881.1834202402278606 ; 19290; 0000000
8954.8922631223722419 ; 19357; 0000000
8991.5237624415221944 ; 19541; 0000000
9051.2253411339006561 ; 19792; 0000000
9101.1486109377474349 ; 20054; 0000000
9152.4075004984770203 ; 20267; 0000000
9258.8217806721077068 ; 20492; 0000000
9314.9033348352713801 ; 20754; 0000000
9371.0614362014675862 ; 20967; 0000000
9474.9671882637030649 ; 21086; 0000000
9552.5738450170683791 ; 21304; 0000000
9620.7752820866717229 ; 21407; 0000000
