Pareto (Travel Time; Profit; IsValid)

3029.1734178173842338 ; 18814; 0000000
2588.8460626965143092 ; 1489; 0000000
3219.6427243208422624 ; 25347; 0000000
3936.0193171228033862 ; 35138; 0000000
3281.2159958686834216 ; 25964; 0000000
2587.9299300000006951 ; 0; 0000000
3371.8507730728756542 ; 28893; 0000000
3664.4110899753100057 ; 34979; 0000000
3427.1012462255894206 ; 31025; 0000000
2986.0245654980135441 ; 17729; 0000000
3947.33796658201436 ; 37302; 0000000
3113.3837029883989089 ; 20958; 0000000
3135.1576335262911925 ; 22761; 0000000
3411.3587344602601661 ; 30325; 0000000
3587.8381076076670979 ; 33419; 0000000
6124.4498542129740599 ; 45761; 0000000
5640.1695073883647638 ; 45202; 0000000
5969.7544709693138429 ; 45511; 0000000
3148.1691316308147179 ; 22874; 0000000
4298.0345124720997774 ; 40241; 0000000
4083.8659795930902874 ; 38524; 0000000
3492.0017270512362302 ; 32180; 0000000
2886.4986141814842995 ; 13189; 0000000
2915.9459655463351737 ; 15035; 0000000
2605.2684467508956914 ; 2508; 0000000
3007.1400657564108769 ; 18488; 0000000
3083.2753084879054768 ; 20201; 0000000
2994.6204347539737682 ; 18210; 0000000
2821.4875875350780916 ; 10432; 0000000
2931.215204717146662 ; 17092; 0000000
5121.5031413973738381 ; 41927; 0000000
5145.3229776940479496 ; 44448; 0000000
2738.8067220233097032 ; 7514; 0000000
2619.4680541528496178 ; 6759; 0000000
2607.3936185908282823 ; 4965; 0000000
